Image,Predicted Category
0.jpg,travel
1000.jpg,fashion
1003.jpg,art
1004.jpg,products
1006.jpg,lifestyle
1007.jpg,fashion
1008.jpg,products
1014.jpg,products
1016.jpg,events
1019.jpg,art
102.jpg,quotes
1021.jpg,art
1022.jpg,food
1023.jpg,food
1024.jpg,lifestyle
1025.jpg,fashion
1029.jpg,lifestyle
1030.jpg,group photo
1033.jpg,group photo
1034.jpg,art
1035.jpg,art
1038.jpg,art
1039.jpg,selfie
1041.jpg,lifestyle
1043.jpg,food
1047.jpg,events
1050.jpg,events
1051.jpg,products
1052.jpg,products
1053.jpg,art
1059.jpg,fashion
1065.jpg,fashion
1067.jpg,fashion
1068.jpg,beauty
1074.jpg,fashion
1083.jpg,fashion
1091.jpg,fashion
1092.jpg,fashion
1094.jpg,fashion
1096.jpg,beauty
1098.jpg,fashion
1099.jpg,fashion
11.jpg,fashion
1100.jpg,fashion
1107.jpg,fashion
1110.jpg,fashion
1111.jpg,fashion
1115.jpg,beauty
1118.jpg,beauty
1120.jpg,fashion
1122.jpg,products
1123.jpg,beauty
1126.jpg,fashion
1129.jpg,fashion
1130.jpg,quotes
1132.jpg,fashion
1136.jpg,fashion
1137.jpg,fashion
1139.jpg,fashion
1142.jpg,quotes
116.jpg,travel
1160.jpg,food
1163.jpg,fashion
1166.jpg,travel
1172.jpg,travel
1176.jpg,fitness
1178.jpg,travel
1185.jpg,travel
1187.jpg,fashion
1198.jpg,nature
1201.jpg,fashion
1204.jpg,fashion
1206.jpg,selfie
1207.jpg,art
1223.jpg,travel
1224.jpg,travel
1226.jpg,fitness
123.jpg,products
1233.jpg,travel
1245.jpg,travel
1246.jpg,fashion
1255.jpg,fashion
1257.jpg,technology
1260.jpg,fashion
1261.jpg,fashion
1262.jpg,fashion
1263.jpg,products
1265.jpg,fashion
1267.jpg,products
1268.jpg,fashion
1271.jpg,fashion
1274.jpg,beauty
1278.jpg,lifestyle
1280.jpg,nature
1282.jpg,travel
1293.jpg,art
1296.jpg,beauty
1300.jpg,art
1304.jpg,art
1307.jpg,fashion
1310.jpg,products
1317.jpg,food
1322.jpg,lifestyle
1325.jpg,events
1326.jpg,fashion
1328.jpg,beauty
1331.jpg,group photo
1332.jpg,technology
1341.jpg,lifestyle
1347.jpg,travel
1348.jpg,fashion
1350.jpg,nature
1351.jpg,fashion
1354.jpg,events
1355.jpg,beauty
1356.jpg,quotes
1359.jpg,fashion
1361.jpg,fashion
1363.jpg,lifestyle
1364.jpg,products
